Saint ID,Name,Also Known As,Gender,Rank / Type,Church Status,Family / Life State,Vocation,Life Experience,Virtue,Commonly Asked Intercessions,Region of Origin,Tradition of Veneration,Era,Century,Feast Day(s),Short Prayer (Intercession),Hymn / Apolytikion,Icon,Brief Life,Notes,Customs & Traditions,Works by the Saint,Works About the Saint,Video / Media,Sources
OS-0011,Righteous Joachim & Anna,Ancestors of God; Sts. Joachim and Anna,Male & Female,Righteous,Layperson,Married; Parent; Grandparent; Childless,,Infertility,Patience; Faith; Hope,Children; Pregnancy; Childbirth,Palestine / Holy Land,Pan-Orthodox,Apostolic Age,1st BC,Sep 9; Anna's Dormition Jul 25; Conception Dec 9,"Holy and Righteous Ancestors of God Joachim and Anna, pray to God for us.",,,"Parents of the Theotokos, who bore her in old age after long childlessness.",St. Anna especially invoked by the childless.,,,,,Synaxarion
OS-0012,Great Martyr George the Trophy-bearer,St. George; Georgios,Male,Great Martyr,Layperson,Single Adult,Soldier; Officer / General,Persecution; Torture,Courage; Faith; Perseverance,Military Service; Protection from Danger; Farming / Crops,Asia Minor,Pan-Orthodox; Greek,Pre-Nicene,4th,Apr 23,"Holy Great Martyr George, pray to God for us.",,,A Roman officer martyred for refusing to renounce Christ; the dragon-slayer of icon and legend.,Among the most beloved military martyrs.,His spring feast (Apr 23) marks the season of renewal and the movement of flocks in Balkan lands; 'Đurđevdan' is widely kept among the Serbs.,,,,Synaxarion
OS-0013,Great Martyr Demetrius the Myrrh-streamer,St. Demetrios of Thessaloniki,Male,Great Martyr,Layperson,Single Adult,Soldier; Officer / General,Imprisonment; Persecution; Torture,Courage; Faith; Zeal,Military Service; Protection from Danger,Greece,Greek; Pan-Orthodox,Pre-Nicene,4th,Oct 26,"Holy Great Martyr Demetrius, pray to God for us.",,,A young officer who taught the faith openly and was speared in prison.,His relics stream fragrant myrrh.,,,,,Synaxarion
OS-0014,Great Martyr & Healer Panteleimon,St. Pantaleon; the Unmercenary,Male,Great Martyr; Unmercenary; Wonderworker,Layperson,Single Adult,Physician,Persecution; Torture,Mercy; Charity; Faith,Healing,Asia Minor,Greek; Pan-Orthodox,Pre-Nicene,4th,Jul 27,"Holy Great Martyr and Healer Panteleimon, pray to God for us.",,,Court physician who healed in Christ's name without payment; martyred under Diocletian.,One of the Holy Unmercenaries.,,,,,Synaxarion
OS-0015,Great Martyr Catherine,St. Katherine of Alexandria,Female,Great Martyr,Layperson,Single Adult,Scholar,Persecution; Torture,Wisdom; Courage; Purity; Faith,Education,Egypt,Pan-Orthodox; Greek,Pre-Nicene,4th,Nov 25,"Holy Great Martyr Catherine, pray to God for us.",,,A learned noblewoman who confounded the emperor's philosophers and was martyred.,St. Catherine's Monastery at Sinai bears her name.,,,,,Synaxarion
OS-0016,Great Martyr Barbara,St. Barbara,Female,Great Martyr,Layperson; Convert,Single Adult,,Persecution; Torture,Courage; Purity; Faith,A Peaceful Death; Protection from Danger,Asia Minor,Pan-Orthodox; Greek,Pre-Nicene,3rd,Dec 4,"Holy Great Martyr Barbara, pray to God for us.",,,"Imprisoned in a tower by her pagan father, she confessed Christ and was beheaded.","Invoked for a peaceful, prepared death.","In the Antiochian / Levantine tradition, sweetened boiled wheat ('Burbara') is prepared and shared on her feast (Dec 4) in memory of her flight from persecution.",,,,Synaxarion
OS-0017,Great Martyr Marina,St. Margaret; Marina of Antioch,Female,Great Martyr,Layperson,Single Adult,Shepherd,Temptation; Persecution; Torture,Courage; Purity; Faith,Childbirth; Deliverance from the Occult,Asia Minor,Greek; Pan-Orthodox,Pre-Nicene,3rd,Jul 17,"Holy Great Martyr Marina, pray to God for us.",,,A young woman who overcame the devil and was martyred for her faith.,Icons show her striking the demon.,,,,,Synaxarion
OS-0018,Great Martyr Theodore the Recruit,St. Theodore Tyron,Male,Great Martyr,Layperson,Single Adult,Soldier,Persecution; Torture,Courage; Faith; Zeal,Military Service; Protection from Danger,Asia Minor,Pan-Orthodox; Greek,Pre-Nicene,4th,First Sat of Lent; Feb 17,"Holy Great Martyr Theodore, pray to God for us.",,,A young soldier martyred for the faith; later helped Christians keep the fast.,Commemorated with kollyva (boiled wheat) on the first Saturday of Lent.,"Kollyva (boiled wheat) is blessed in his honor on the first Saturday of Great Lent, recalling the miracle by which he preserved the faithful from defiled food.",,,,Synaxarion
OS-0019,St. Nicholas the Wonderworker,St. Nicholas of Myra; Hagios Nikolaos,Male,Hierarch; Wonderworker,Clergy - Bishop,Single Adult,,Imprisonment; Persecution,Charity; Mercy; Faith; Courage,Travel; Children; Financial Need; Protection from Danger,Asia Minor,Pan-Orthodox,Byzantine,4th,Dec 6; Translation May 9,"Holy Hierarch Nicholas, pray to God for us.",,,Bishop of Myra famed for secret gifts to the poor and rescue of the condemned.,Origin of the Santa Claus tradition; vastly popular patron.,Honored with gifts to children on his feast (Dec 6) — the historical root of the Santa Claus custom — and kept with special devotion by sailors.,,,,Synaxarion
OS-0020,St. Spyridon the Wonderworker,St. Spyridon of Trimythous,Male,Hierarch; Wonderworker,Clergy - Bishop,Married; Widowed; Parent,Shepherd; Farmer,Widowhood,Humility; Faith; Charity,Financial Need; Housing,Cyprus,Greek; Pan-Orthodox,Byzantine,4th,Dec 12,"Holy Hierarch Spyridon, pray to God for us.",,,A simple shepherd-bishop at the First Council; worker of many wonders.,"Incorrupt relics on Corfu, said to wear out his slippers.",On Corfu his incorrupt relics are carried in solemn procession four times a year in thanksgiving for the island's deliverances.,,,,Synaxarion
OS-0021,St. Basil the Great,Hagios Vasileios,Male,Hierarch,Clergy - Bishop; Monastic,Single Adult,Scholar; Writer; Teacher,,Wisdom; Charity; Faith; Zeal,Education; Healing; Financial Need,Asia Minor,Pan-Orthodox,Byzantine,4th,Jan 1; Synaxis Jan 30,"Holy Hierarch Basil the Great, pray to God for us.",,,Archbishop who founded the first great hospital and wrote rules for monastic life.,One of the Three Hierarchs (Jan 30).,"In the Greek tradition it is St. Basil — not St. Nicholas — who is remembered with gift-giving at the New Year (his feast, Jan 1), and a 'vasilopita' is cut with a coin baked inside; the one who receives the slice with the coin is held blessed for the year.",On the Holy Spirit; Hexaemeron; the Longer & Shorter Rules; the Divine Liturgy of St. Basil; Letters,,,Synaxarion
OS-0022,St. Gregory the Theologian,Gregory Nazianzen,Male,Hierarch,Clergy - Bishop; Monastic,Single Adult,Scholar; Writer; Hymnographer; Teacher,,Wisdom; Humility; Faith,Education,Asia Minor; Constantinople,Pan-Orthodox,Byzantine,4th,Jan 25; Synaxis Jan 30,"Holy Hierarch Gregory the Theologian, pray to God for us.",,,Archbishop of Constantinople and master theologian of the Holy Trinity.,One of the Three Hierarchs.,,The Five Theological Orations; Orations; Poems; Letters,,,Synaxarion
OS-0023,St. John Chrysostom,Hagios Ioannis Chrysostomos,Male,Hierarch,Clergy - Bishop,Single Adult,Scholar; Writer; Teacher,Exile; Persecution; Slander / False Accusation,Courage; Charity; Wisdom; Zeal,Education,Syria; Constantinople,Pan-Orthodox,Byzantine,5th,Nov 13; Translation Jan 27; Synaxis Jan 30,"Holy Hierarch John Chrysostom, pray to God for us.",,,Golden-mouthed archbishop whose Liturgy is celebrated to this day; died in exile.,One of the Three Hierarchs.,,Homilies on the Gospels & Epistles; On the Priesthood; the Divine Liturgy of St. John Chrysostom; the Paschal Homily,,,Synaxarion
OS-0024,St. Athanasius the Great,Athanasius of Alexandria,Male,Hierarch; Confessor,Clergy - Bishop,Single Adult,Scholar; Writer,Exile; Persecution; Slander / False Accusation,Courage; Faith; Perseverance; Zeal,,Egypt,Pan-Orthodox,Byzantine,4th,Jan 18,"Holy Hierarch Athanasius, pray to God for us.",,,Champion of Christ's divinity against Arianism; exiled repeatedly but unbroken.,'Athanasius against the world.',,On the Incarnation; Against the Arians; Life of St. Anthony; Festal Letters,,,Synaxarion
OS-0025,St. Gregory Palamas,Gregory of Thessaloniki,Male,Hierarch,Clergy - Bishop; Monastic,Single Adult,Scholar; Writer,Captivity; Slander / False Accusation,Wisdom; Humility; Faith; Discernment,,Greece; Mt. Athos; Constantinople,Greek; Pan-Orthodox,Byzantine,14th,Nov 14; 2nd Sun of Lent,"Holy Hierarch Gregory Palamas, pray to God for us.",,,Athonite monk and archbishop who defended the prayer of the heart.,Honored on the second Sunday of Lent.,,The Triads (In Defense of the Holy Hesychasts); Homilies,,,Synaxarion
OS-0026,St. Anthony the Great,Abba Antony; Father of Monasticism,Male,Venerable (Monastic); Ascetic; Hermit,Monastic,Single Adult,,Temptation,Humility; Self-Control; Discernment; Perseverance,Protection from Illness / Epidemic; Healing,Egypt,Pan-Orthodox,Byzantine,4th,Jan 17,"Venerable Father Anthony, pray to God for us.",,,Father of monasticism who withdrew to the Egyptian desert and battled the demons.,His Life by St. Athanasius shaped monasticism East and West.,,Letters (attributed),The Life of St. Anthony — by St. Athanasius the Great,,Synaxarion
OS-0027,St. Mary of Egypt,Hosia Maria,Female,Venerable (Monastic); Ascetic; Hermit,Layperson,Single Adult,,Repentance from grave sin; Temptation; Loneliness,Repentance; Self-Control; Perseverance; Humility,Addiction Recovery,Egypt; Palestine / Holy Land,Pan-Orthodox,Byzantine,5th,Apr 1; 5th Sun of Lent,"Venerable Mother Mary of Egypt, pray to God for us.",,,A former harlot who repented utterly and lived 47 years in the desert.,The model of repentance read in Lent.,,,The Life of St. Mary of Egypt — by St. Sophronius of Jerusalem,,Synaxarion
OS-0028,St. Pachomius the Great,Abba Pachomius,Male,Venerable (Monastic),Monastic; Convert,Single Adult,Soldier,War,Obedience; Humility; Charity,,Egypt,Pan-Orthodox,Byzantine,4th,May 15,"Venerable Father Pachomius, pray to God for us.",,,Former soldier who founded communal monasticism under a written rule.,Father of the monastic community.,,The Rule of St. Pachomius (cenobitic monastic rule),,,Synaxarion
OS-0029,St. Macarius the Great,Macarius of Egypt,Male,Venerable (Monastic); Ascetic; Wonderworker,Monastic; Clergy - Priest,Single Adult,,Slander / False Accusation,Humility; Patience; Discernment,,Egypt,Pan-Orthodox,Byzantine,4th,Jan 19,"Venerable Father Macarius, pray to God for us.",,,A great desert father known for humility and ceaseless prayer.,Homilies attributed to him are widely read.,,The Fifty Spiritual Homilies (attributed),,,Synaxarion
OS-0030,St. Moses the Black,Moses the Ethiopian; Moses the Robber,Male,Venerable (Monastic); Ascetic,Monastic; Convert; Clergy - Priest,Single Adult,Servant / Slave,Repentance from grave sin; Addiction / Self-destructive habits; Persecution,Repentance; Humility; Meekness; Self-Control,Addiction Recovery,Egypt,Pan-Orthodox,Byzantine,4th,Aug 28,"Venerable Father Moses, pray to God for us.",,,"A fierce robber who became a gentle desert father, killed by raiders.",Patron for those with violent pasts.,,,,,Synaxarion
OS-0031,St. Ephraim the Syrian,Ephrem; the Harp of the Spirit,Male,Venerable (Monastic),Monastic; Clergy - Deacon,Single Adult,Hymnographer; Writer; Teacher,,Humility; Repentance; Wisdom,,Mesopotamia,Pan-Orthodox; Greek,Byzantine,4th,Jan 28,"Venerable Father Ephraim the Syrian, pray to God for us.",,,Deacon and poet whose Lenten prayer is prayed across the Church.,Author of the prayer of St. Ephraim.,,Hymns; Commentaries; the Lenten Prayer of St. Ephraim,,,Synaxarion
OS-0032,St. Isaac the Syrian,Isaac of Nineveh,Male,Venerable (Monastic); Hermit; Hierarch,Monastic; Clergy - Bishop,Single Adult,Writer,Loneliness,Humility; Mercy; Discernment; Hope,,Mesopotamia,Pan-Orthodox,Byzantine,7th,Jan 28,"Venerable Father Isaac the Syrian, pray to God for us.",,,"Briefly a bishop, then a hermit whose writings on mercy and prayer are treasured.",'Ascetical Homilies' widely read in monasteries.,,The Ascetical Homilies,,,Synaxarion
OS-0033,St. John Climacus,John of the Ladder; John of Sinai,Male,Venerable (Monastic); Ascetic,Monastic,Single Adult,Writer,Loneliness,Humility; Self-Control; Discernment; Perseverance,,Sinai,Pan-Orthodox,Byzantine,7th,Mar 30; 4th Sun of Lent,"Venerable Father John of the Ladder, pray to God for us.",,,"Abbot of Sinai, author of 'The Ladder of Divine Ascent.'",Read in monasteries each Lent.,,The Ladder of Divine Ascent,,,Synaxarion
OS-0034,St. Symeon the Stylite,Symeon the Elder,Male,Venerable (Monastic); Ascetic; Stylite,Monastic,Single Adult,Shepherd,,Perseverance; Humility; Self-Control,,Syria,Pan-Orthodox,Byzantine,5th,Sep 1,"Venerable Father Symeon the Stylite, pray to God for us.",,,"Lived decades atop a pillar, drawing pilgrims and emperors for counsel.",First and most famous of the stylites.,,,,,Synaxarion
OS-0035,St. Symeon the New Theologian,Symeon the New Theologian,Male,Venerable (Monastic),Monastic; Clergy - Priest,Single Adult,Writer; Hymnographer,Slander / False Accusation; Exile,Humility; Faith; Discernment; Zeal,,Constantinople,Greek; Pan-Orthodox,Byzantine,11th,Mar 12,"Venerable Father Symeon the New Theologian, pray to God for us.",,,Abbot who taught the conscious experience of the Holy Spirit.,One of only three called 'the Theologian.',,Hymns of Divine Love; Catechetical Discourses; Practical & Theological Chapters,,,Synaxarion
OS-0036,Holy Unmercenaries Cosmas & Damian,Sts. Cosmas and Damian; the Anargyroi,Male,Unmercenary; Wonderworker,Layperson,Single Adult,Physician,,Charity; Mercy; Faith,Healing,Asia Minor,Pan-Orthodox,Pre-Nicene,3rd,"Nov 1 (also Jul 1, Oct 17)","Holy Unmercenaries Cosmas and Damian, pray to God for us.",,,Brother physicians who treated the sick for free; among the chief healers.,'Anargyroi' = silverless ones.,,,,,Synaxarion
OS-0037,Sts. Constantine & Helen,Equal-to-the-Apostles Constantine and Helen,Male & Female,Equal-to-the-Apostles; Right-believing (Ruler),Layperson; Convert,Parent; Widowed,Ruler,War,Faith; Zeal; Humility,Lost Items,Italy / Rome; Asia Minor,Pan-Orthodox,Byzantine,4th,May 21,"Holy Equals-to-the-Apostles Constantine and Helen, pray to God for us.",,,Constantine ended persecution; his mother Helen found the True Cross.,Helen invoked by those seeking lost things.,,,,,Synaxarion
OS-0038,Sts. Cyril & Methodius,Equal-to-the-Apostles Cyril and Methodius,Male,Equal-to-the-Apostles; Enlightener; Missionary,Monastic; Clergy - Bishop,Single Adult,Scholar; Translator; Teacher,Persecution,Wisdom; Perseverance; Zeal; Faith,Education; Missionary Work,Greece,Greek; Russian; Bulgarian; Serbian; Pan-Orthodox,Byzantine,9th,May 11; Feb 14,"Holy Equals-to-the-Apostles Cyril and Methodius, pray to God for us.",,,Brothers who evangelized the Slavs and created the Slavonic alphabet.,Patrons of translators and the Slavic Church. St. Cyril's repose is commemorated Feb 14.,,The Slavonic (Glagolitic) alphabet; translations of the Scriptures & Liturgy into Slavonic,,,Synaxarion
OS-0039,"St. Nina, Enlightener of Georgia",St. Nino,Female,Equal-to-the-Apostles; Enlightener; Missionary,Layperson,Single Adult,,Captivity,Faith; Zeal; Humility; Perseverance,Missionary Work,Asia Minor; Georgia,Georgian; Russian; Pan-Orthodox,Byzantine,4th,Jan 14,"Holy Nina, Equal-to-the-Apostles, pray to God for us.",,,A young woman whose preaching converted the kingdom of Georgia.,Patroness of Georgia.,,,,,Synaxarion
OS-0040,"St. Vladimir, Enlightener of Rus'",Volodymyr; Prince Vladimir,Male,Equal-to-the-Apostles; Enlightener; Right-believing (Ruler),Layperson; Convert,Married; Parent,Ruler,Repentance from grave sin,Repentance; Faith; Charity; Zeal,,Ukraine; Rus' / Russia,Russian; Pan-Orthodox,Byzantine,10th,Jul 15,"Holy Vladimir, Equal-to-the-Apostles, pray to God for us.",,,Grand Prince of Kyiv who embraced Orthodoxy and baptized Rus'.,Father of the Slavic Christian world.,,,,,Synaxarion
OS-0041,"St. Olga, Princess of Kyiv",Equal-to-the-Apostles Olga; Helga,Female,Equal-to-the-Apostles; Right-believing (Ruler),Layperson; Convert,Married; Widowed; Parent; Grandparent,Ruler,Widowhood,Wisdom; Faith; Perseverance,,Ukraine; Rus' / Russia,Russian; Pan-Orthodox,Byzantine,10th,Jul 11,"Holy Olga, Equal-to-the-Apostles, pray to God for us.",,,Grandmother of St. Vladimir and the first Christian ruler of Rus'.,Patroness of widows and converts.,,,,,Synaxarion
OS-0042,St. Sergius of Radonezh,Sergiy; Sergius of Holy Trinity,Male,Venerable (Monastic); Wonderworker; Ascetic,Monastic; Clergy - Priest,Single Adult,,Poverty,Humility; Obedience; Charity; Discernment,Education; Protection from Danger,Rus' / Russia,Russian; Pan-Orthodox,Byzantine,14th,Sep 25; Translation Jul 5,"Venerable Father Sergius, pray to God for us.",,,Founder of the Holy Trinity Lavra and great unifier of Russia.,Beloved patron of Russian students.,,,,,Synaxarion
OS-0043,St. Seraphim of Sarov,Seraphim Sarovsky,Male,Venerable (Monastic); Wonderworker; Ascetic; Hermit,Monastic; Clergy - Priest,Single Adult,,Chronic Pain; Loneliness,Humility; Love; Hope; Perseverance,Healing,Rus' / Russia,Russian; Pan-Orthodox,Modern,19th,Jan 2; Glorification Jul 19,"Venerable Father Seraphim, pray to God for us.",,,Hermit who greeted all with 'My joy!' and radiated the grace of the Spirit.,'Acquire the Spirit of peace.',,Conversation on the Acquisition of the Holy Spirit (recorded by N. Motovilov); Spiritual Instructions,,,Synaxarion
OS-0044,St. Herman of Alaska,Herman of Alaska,Male,Venerable (Monastic); Missionary; Wonderworker,Monastic,Single Adult,,Persecution,Charity; Humility; Mercy; Love,Missionary Work; Protection from Danger,Rus' / Russia; Alaska,Russian; North American; Pan-Orthodox,Modern,19th,Dec 13; Glorification Aug 9,"Venerable Father Herman, pray to God for us.",,,Monk-missionary who protected the Alaskan natives and lived in deep prayer.,First glorified saint of America.,,,,,Synaxarion
OS-0045,St. John of Kronstadt,Ioann Kronshtadtsky,Male,Righteous; Wonderworker,Clergy - Priest,Married,,,Charity; Faith; Love; Zeal,Healing,Rus' / Russia,Russian; Pan-Orthodox,Modern,20th,Dec 20; Glorification Oct 19,"Holy and Righteous Father John of Kronstadt, pray to God for us.",,,"A married parish priest of extraordinary prayer, charity, and healings.",Model of the active pastoral priest.,,My Life in Christ,,,Synaxarion
OS-0046,St. Nektarios of Aegina,Nektarios the Wonderworker,Male,Hierarch; Wonderworker,Clergy - Bishop; Monastic,Single Adult,Teacher; Writer,Slander / False Accusation; Poverty,Humility; Patience; Meekness; Faith,Healing,Greece,Greek; Pan-Orthodox,Modern,20th,Nov 9,"Holy Hierarch Nektarios, pray to God for us.",,,A maligned bishop who bore injustice patiently; now a chief healer of cancer.,Hugely popular modern wonderworker.,,Numerous theological works; the hymn 'Agni Parthene' (O Virgin Pure),,,Synaxarion
OS-0047,St. Xenia of St. Petersburg,Blessed Xenia; Xenia the Fool-for-Christ,Female,Fool-for-Christ; Wonderworker; Righteous,Layperson,Married; Widowed; Childless,,Widowhood; Homelessness; Poverty; Grief / Bereavement,Humility; Faith; Perseverance; Love,Marriage; Employment; Housing,Rus' / Russia,Russian; Pan-Orthodox,Modern,18th,Jan 24,"Blessed Xenia, pray to God for us.",,,After her husband's sudden death she took on foolishness for Christ.,"Invoked for marriage, employment, and homes.",,,,,Synaxarion
OS-0048,St. Matrona of Moscow,Blessed Matrona,Female,Righteous; Wonderworker,Layperson,Single Adult,,Blindness; Disability; Illness,Patience; Faith; Love; Discernment,Healing; Mental Health,Rus' / Russia,Russian; Pan-Orthodox,Modern,20th,Apr 19 (May 2 civil); Glorification Mar 8,"Blessed Matrona, pray to God for us.",,,A blind peasant woman of great spiritual sight who helped countless people.,Among the most-visited shrines in Russia.,,,,,Synaxarion
OS-0049,"St. Luke, Archbishop of Crimea",Luke the Surgeon; Voyno-Yasenetsky,Male,Hierarch; Confessor; Wonderworker,Clergy - Bishop; Monastic,Married; Widowed; Parent,Physician; Scholar; Writer,Widowhood; Imprisonment; Exile; Persecution,Courage; Faith; Charity; Perseverance,Healing,Rus' / Russia,Russian; Pan-Orthodox,Modern,20th,Jun 11,"Holy Hierarch Luke, pray to God for us.",,,World-class surgeon and bishop who operated and preached even in exile.,Patron of medical workers.,,"The Spirit, Soul and Body; Essays on Purulent Surgery (medical); sermons",,,Synaxarion
OS-0050,St. John of Shanghai & San Francisco,John Maximovitch,Male,Hierarch; Wonderworker,Clergy - Bishop; Monastic,Single Adult,,Exile,Charity; Love; Humility; Faith,Travel; Children; Healing; Protection from Danger,Rus' / Russia; China; North America,Russian; North American; Pan-Orthodox,Modern,20th,Jul 2,"Holy Hierarch John, pray to God for us.",,,Ascetic bishop who shepherded his flock through exile from China to America.,Incorrupt relics in San Francisco.,,The Orthodox Veneration of the Mother of God; homilies,,,Synaxarion
OS-0051,St. Paisios the Athonite,Elder Paisios,Male,Venerable (Monastic); Ascetic,Monastic,Single Adult,Craftsman; Soldier,War; Illness,Love; Humility; Discernment; Patience,Mental Health; Healing,Greece; Mt. Athos,Greek; Pan-Orthodox,Modern,20th,Jul 12,"Venerable Father Paisios, pray to God for us.",,,"A 20th-century Athonite elder beloved for practical, loving counsel.",Canonized 2015.,,"Spiritual Counsels (compiled, vols. I–V); Elder Hadji-Georgis the Athonite; Saint Arsenios the Cappadocian",Elder Paisios of Mount Athos — by Hieromonk Isaac,,Synaxarion
OS-0052,St. Porphyrios,Elder Porphyrios; Porphyrios of Kafsokalyvia,Male,Venerable (Monastic),Monastic; Clergy - Priest,Single Adult,,Illness; Chronic Pain,Love; Humility; Discernment,Healing; Mental Health,Greece,Greek; Pan-Orthodox,Modern,20th,Dec 2,"Venerable Father Porphyrios, pray to God for us.",,,A clairvoyant elder who counseled with love and discerned hidden things.,Canonized 2013.,,"Wounded by Love (his counsels, compiled)",,,Synaxarion
OS-0053,St. Tikhon of Moscow,Patriarch Tikhon,Male,Hierarch; Confessor,Clergy - Bishop; Monastic,Single Adult,,Persecution; Imprisonment,Patience; Courage; Faith; Meekness,Missionary Work,Rus' / Russia; North America,Russian; North American; Pan-Orthodox,Modern,20th,Apr 7; Glorification Oct 9,"Holy Hierarch Tikhon, pray to God for us.",,,"First to organize Orthodoxy in America, later patriarch under persecution.",Bridge between America and Russia.,,,,,Synaxarion
